business_name,trade,website,phone,email,notes
Painters Dublin,painting,https://paintersdublin.ie,01 514 3247,info@paintersdublin.ie,SENT
The Dublin Plumber,plumbing,https://www.thedublinplumber.com,087 2821255,ken@thedublinplumber.com,SENT
Electrician Dublin,electrical,https://electrician-dublin.ie,01 445 8543,info@electrician-dublin.ie,SENT
Horizon Bespoke Joinery,carpentry,https://horizonbespokejoinery.ie,087 486 1284,info@horizonbespokejoinery.ie,SENT
Doherty Carpentry,carpentry,https://dohertycarpentry.ie,not found,dohertycarpentryandjoinery@gmail.com,SENT
Allguard Roofing,roofing,https://www.allguardroofing.ie,(01) 873 3706,info@allguardroofing.ie,Ready to send
Dublin Roofing Company,roofing,https://dublinroofingcompany.ie,not found,info@dublinroofingcompany.ie,Ready to send
IC Roofing,roofing,https://icroofing.ie,not found,info@icroofing.ie,Ready to send
All Gas Heating & Plumbing,heating,https://www.allgas.ie,(01) 831 4819,admin@allgas.ie,SENT
MD Painting and Decorating,painting,https://www.mdpaintingdecorating.com,not found,not found,No email
Original Dublin Painter,painting,https://originaldublinpainter.ie,not found,not found,Minimal site
PJ Glass Services,glazing,https://www.pjglassservices.ie,01 564 9312,info@pjglassservices.ie,Ready to send
DS Construction Services,construction,https://dsconstructionservices.ie,087 226 5559,info@dsconstructionservices.ie,Ready to send
Oisin Butler,painting,https://oisinbutler.ie,01 280 9375,oisin@oisinbutler.ie,Ready to send
Dublin Air,HVAC,https://dublinair.ie,087 904 8900,info@dublinair.ie,Ready to send
Ideal Solar & Electrical,solar,https://idealsolarandelectrical.ie,087 170 4315,info@idealsolarandelectrical.ie,Ready to send
24 Hour Plumber,plumbing,https://www.24hourplumber.ie,01 531 2220,info@24hourplumber.ie,Ready to send
GTR Electrical,electrical,https://gtrelectrical.com,01 294 6731,info@gtrelectrical.com,Ready to send
APCO Garden Design,landscaping,https://www.apcogardendesign.ie,01 626 3496,colm@apco.ie,Ready to send
Tony Tiling,tiling,https://tonytiling.ie,not found,info@tonytiling.ie,Ready to send
